Lesson,English,Arabic
Lesson 1,Who is this?,مَنْ هَذَا؟
Lesson 1,Doctor,طَبِيبٌ
Lesson 1,Boy,وَلَدٌ
Lesson 1,Student,طَالِبٌ
Lesson 1,Man,رَجُلٌ
Lesson 1,Merchant,Businessman,تَاجِرٌ
Lesson 1,Dog,كَلْبٌ
Lesson 1,Cat,قِطٌّ
Lesson 1,Donkey,حِمَارٌ
Lesson 1,Horse,حِصَانٌ
Lesson 1,Camel,جَمَلٌ
Lesson 1,Rooster,دِيْكٌ
Lesson 1,Teacher,مُدَرِّسٌ
Lesson 1,Tissue,Handkerchief,Kerchief,مِنْدِيلٌ
Lesson 1,Star,نَجْمٌ
Lesson 1,This is,This,هَذَا
Lesson 1,House,بَيْتٌ
Lesson 1,Mosque,مَسْجِدٌ
Lesson 1,Door,بَابٌ
Lesson 1,Book,كِتَابٌ
Lesson 1,Pen,قَلَمٌ
Lesson 1,Key,مِفْتَاحٌ
Lesson 1,Desk,مَكْتَبٌ
Lesson 1,Bed,سَرِيرٌ
Lesson 1,Chair,كُرْسِيٌّ
Lesson 1,What is this?,ما هَذَا؟
Lesson 1,Yes,نَعَمْ
Lesson 1,Shirt,قَمِيصٌ
Lesson 1,No,لا
Lesson 1,Who?,مَنْ؟
Lesson 2,What?,مَاذَا؟
Lesson 2,Stone,حَجَرٌ
Lesson 2,Milk,لَبَنٌ
Lesson 2,That is,That,ذَلِكَ
Lesson 2,Imam,Imaam,Leader,إِمَامٌ
Lesson 2,Sugar,سُكّرٌ
Lesson 2,What is that?,مَاذَا ذَلِكَ؟
Lesson 3,Heavy,ثَقِيلٌ
Lesson 3,Moon,قَمَرٌ
Lesson 3,Light,خَفِيفٌ
Lesson 3,Clean,نَظِيْفٌ
Lesson 3,Poor,فَقِيْرٌ
Lesson 3,Sweet,حُلْوٌ
Lesson 3,Sick,Ill,Poorly,مَرِيْضٌ
Lesson 3,Notebook,Notepad,دَفْتَرٌ
Lesson 3,Shop,Store,دُكّانٌ
Lesson 3,Rich,غَنِيٌّ
Lesson 3,Father,Dad,أَبٌ
Lesson 3,Paper,وَرَق
Lesson 3,Apple,تُفّاحَةٌ
Lesson 3,Delicious,لَذِيذٌ
Lesson 3,Tall,طَوِيْلٌ
Lesson 3,Short,قَصِيْرٌ
Lesson 3,Brother,أَخٌ
Lesson 3,Messenger,رَسُولٌ
Lesson 3,The,الْ
Lesson 3,Broken,مَكْسُوْرٌ
Lesson 3,Open,مَفْتُوحٌ
Lesson 3,Sitting,جَالِسٌ
Lesson 3,Standing,وَاقِفٌ
Lesson 3,New,جَدِيْدٌ
Lesson 3,Old,قَدِيْمٌ
Lesson 3,Water,مَاءٌ
Lesson 3,Cold,بَارِدٌ
Lesson 3,Near,قَرِيْبٌ
Lesson 3,Far,بَعِيْدٌ
Lesson 3,Hot,حَارٌّ
Lesson 3,Small,صَغِيْرٌ
Lesson 3,Big,كَبِيْرٌ
Lesson 3,Dirty,وَسِخٌ
Lesson 3,Beautiful,جَمِيْلٌ
Lesson 3,Bread,خُبْزٌ
Lesson 3,Eye,عَيْنٌ
Lesson 3,Face,وَجْهٌ
Lesson 3,Friend,صَدِيْقٌ
Lesson 3,Quran,Qur'an,قُرْآنٌ
Lesson 3,Prayer,صَلاَةٌ
Lesson 3,Kabah,Ka'abah,Ka'bah,Kaabah,كَعْبَةٌ
Lesson 3,Head,رَأْسٌ
Lesson 3,Finger,صَبْعٌ
Lesson 3,Soap,صَابُونٌ
Lesson 3,Nail,ظُفْرٌ
Lesson 3,Dawn,Fajr,فَجْرٌ
Lesson 3,Midday,Dhuhr,Zuhr,ظُهْرٌ
Lesson 3,Afternoon,Asr,'Asr,عَصْرٌ
Lesson 3,Sunset,West,Maghrib,مَغْرِبٌ
Lesson 3,Evening,Isha,Isha'a,عِشَاءٌ
Lesson 3,Garden,Paradise,جَنَّةٌ
Lesson 3,Mouth,فَمٌّ
Lesson 3,Air,هَوَاءٌ
Lesson 3,Hand,يَدٌ
Lesson 3,Garment,ثَوْبٌ
Lesson 3,Gold,ذَهَبٌ
Lesson 3,Flower,زَهْرَةٌ
Lesson 3,Fish,سَمَكٌ
Lesson 3,Sun,شَمْسٌ
Lesson 3,Chest,صَدْرٌ
Lesson 3,Guest,فَيْضٌ
Lesson 3,Back,ظَهْرٌ
Lesson 3,Meat,لَحْمٌ
Lesson 4,In,فِيْ
Lesson 4,On,عَلَى
Lesson 4,Where?,أَيْنَ؟
Lesson 4,Muhammad,Mohammad,Mohamed,مُحَمَّدٌ
Lesson 4,He,هُوَ
Lesson 4,Room,غُرْفَةٌ
Lesson 4,Bathroom,حَمَّامٌ
Lesson 4,Kitchen,مَطْبَخٌ
Lesson 4,She,هِيَ
Lesson 4,Watch,Timepiece,سَاعَةٌ
Lesson 4,School,مَدْرَسَةٌ
Lesson 4,University,جَامِعَةٌ
Lesson 4,Classroom,فَصْلٌ
Lesson 4,I,أَنَا
Lesson 4,Japan,اليَابَانُ
Lesson 4,China,الصِّينُ
Lesson 4,Toilet,Bathroom,حَمَّامٌ
Lesson 4,Sky,سَمَاءٌ
Lesson 4,From,مِنْ
Lesson 4,To,إِلَى
Lesson 4,You,أَنْتَ
Lesson 4,He left,He exited,خَرَجَ
Lesson 4,He went,ذَهَبَ
Lesson 4,Headmaster,Principle,مُدِيرٌ
Lesson 4,India,الهِنْدُ
Lesson 4,Market,سُوقٌ
Lesson 4,Philippines,الفِلِّبِينُ
Lesson 5,Minister,وَزِيرٌ
Lesson 5,Professor,Teacher,أُسْتَاذٌ
Lesson 5,Car,سَيَّارَةٌ
Lesson 5,Son,ابْنٌ
Lesson 5,Allah,Allâh,اللَّهُ
Lesson 5,Name,اسْمٌ
Lesson 5,Iraq,العِرَاقُ
Lesson 5,Illuminated,مُنَوَّرَةٌ
Lesson 5,Here,هُنَا
Lesson 5,Bag,حَقِيبَةٌ
Lesson 5,Under,Beneath,تَحْتَ
Lesson 5,Girl,Daughter,بِنْتٌ
Lesson 5,Paternal uncle,عَمٌّ
Lesson 5,Closed,مَغْلُقٌ
Lesson 5,Maternal uncle,خَالٌ
Lesson 5,Street,شَارِعٌ
Lesson 6,Ear,أُذُنٌ
Lesson 6,Nose,أَنْفٌ
Lesson 6,Muslim,مُسْلِمٌ
Lesson 6,Tea,شَايٌ
Lesson 6,Fast,سَرِيعٌ
Lesson 6,Window,نَافِذَةٌ
Lesson 6,Coffee,قَهْوَةٌ
Lesson 6,Fridge,ثَلَّاجَةٌ
Lesson 6,Mother,أُمٌّ
Lesson 6,Farmer,فَلَّاحٌ
Lesson 6,Foot,Leg,رِجْلٌ
Lesson 6,Cow,بَقَرَةٌ
Lesson 6,Cooking pot,Pot,قِدْرٌ
Lesson 6,East,مَشْرِقٌ
Lesson 6,This is,هٰذِهِ
Lesson 6,Sister,أُخْتٌ
Lesson 6,Also,أَيْضًا
Lesson 6,Whose?,لِمَنْ؟
Lesson 6,Iron,مِكْوَاةٌ
Lesson 7,That is (f),تِلْكَ
Lesson 7,Nurse,مُمَرِّضَةٌ
Lesson 7,Tall (f),طَوِيلَةٌ
Lesson 7,Chicken,دَجَّاجَةٌ
Lesson 7,She‑camel,نَاقَةٌ
Lesson 7,Garden,حَدِيقَةٌ
Lesson 7,Short (f),قَصِيرَةٌ
Lesson 7,Duck,بَطَّةٌ
